GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
41,-7.9583,-69.7476,-33.9861,4.34891088,-77.7059,-29.637189120000002,-107.34308912
42,-5.176,-64.9359,-33.5443,4.35675672,-70.1119,-29.18754328,-99.29944328000002
43,-3.5609,-62.9592,-33.9261,4.41325944,-66.5201,-29.512840559999997,-96.03294056
44,-6.0423,-63.2919,-37.1599,4.353509519999999,-69.3342,-32.806390480000005,-102.14059048
45,-6.9688,-65.2101,-34.2296,4.3840728,-72.1789,-29.8455272,-102.0244272
46,-8.3371,-69.0941,-34.2826,4.3868304,-77.43119999999999,-29.8957696,-107.3269696
47,-6.3028,-61.5628,-35.3218,4.34976696,-67.8656,-30.972033040000003,-98.83763304
48,-10.2189,-66.2595,-34.0985,4.41214128,-76.47840000000001,-29.68635872,-106.16475872000001
49,-9.2458,-66.8771,-35.3993,4.423631759999999,-76.1229,-30.975668239999997,-107.09856823999999
50,-7.1956,-66.8353,-34.4363,4.4125848,-74.0309,-30.0237152,-104.0546152
51,-7.4947,-63.4265,-34.7629,4.36203216,-70.9212,-30.400867840000004,-101.32206784
52,-4.7858,-67.6028,-34.0241,4.368428639999999,-72.3886,-29.65567136,-102.04427136
53,-3.4573,-69.6557,-33.0053,4.40768448,-73.113,-28.597615519999998,-101.71061552
54,-6.1861,-70.892,-32.3259,4.40356824,-77.07809999999999,-27.92233176,-105.00043176
55,-3.6192,-64.1905,-33.7321,4.39215336,-67.8097,-29.33994664,-97.14964664000001
56,-7.0687,-61.9836,-35.2232,4.41889848,-69.0523,-30.80430152,-99.85660152
57,-7.0114,-63.2382,-35.1361,4.33695816,-70.2496,-30.799141839999997,-101.04874184
58,-6.5065,-63.5268,-35.3462,4.42587888,-70.0333,-30.920321120000004,-100.95362112000001
